# 3D Systems, Inc.
# New Model
-0.1470747 0.1720574 0.8753512
-0.1470711 0.1724501 0.8751352
-0.1470773 0.1728878 0.8749230
-0.1470984 0.1733602 0.8747154
-0.1469370 0.1701599 0.8765470
-0.1469333 0.1704839 0.8762662
-0.1467156 0.1712961 0.8757365
-0.1464364 0.1720180 0.8752388
-0.1464356 0.1724092 0.8750205
-0.1464479 0.1728435 0.8748028
-0.1464779 0.1733139 0.8745909
-0.1463086 0.1701429 0.8765089
-0.1463069 0.1704589 0.8762260
-0.1460880 0.1712627 0.8756572
-0.1457984 0.1719843 0.8751406
-0.1458047 0.1723701 0.8749189
-0.1458267 0.1728019 0.8746993
-0.1455001 0.1735005 0.8743110
-0.1456802 0.1701241 0.8764735
-0.1456798 0.1704334 0.8761881
-0.1454609 0.1712309 0.8755869
-0.1451732 0.1719497 0.8750469
-0.1451858 0.1723302 0.8748236
-0.1448692 0.1730446 0.8743925
-0.1448850 0.1734764 0.8741943
-0.1450502 0.1701048 0.8764327
-0.1450525 0.1704061 0.8761467
-0.1450694 0.1707497 0.8758808
-0.1445466 0.1719171 0.8749646
-0.1445684 0.1722908 0.8747359
-0.1442604 0.1730252 0.8742937
-0.1442896 0.1734467 0.8740801
-0.1444175 0.1700857 0.8763926
-0.1444247 0.1703781 0.8761065
-0.1442068 0.1711623 0.8754543
-0.1439341 0.1718902 0.8748885
-0.1439598 0.1722580 0.8746615
-0.1436563 0.1730096 0.8742039
-0.1436904 0.1734263 0.8739928
-0.1437911 0.1700733 0.8763540
-0.1437975 0.1703526 0.8760699
-0.1435810 0.1711330 0.8754099
-0.1433236 0.1718651 0.8748328
-0.1433528 0.1722240 0.8746055
-0.1433541 0.1698748 0.8764802
-0.1433924 0.1701732 0.8761733
-0.1430558 0.1729948 0.8741355
-0.1427570 0.1737087 0.8737309
-0.1427135 0.1718542 0.8747970
-0.1427410 0.1722054 0.8745693
-0.1424608 0.1729913 0.8740888
-0.1425397 0.1700893 0.8763404
-0.1425366 0.1703479 0.8760576
-0.1421801 0.1737215 0.8736784
-0.1423350 0.1711105 0.8753702
-0.1421075 0.1718663 0.8747884
-0.1421341 0.1722024 0.8745569
-0.1418908 0.1730046 0.8740753
-0.1419147 0.1701333 0.8763720
-0.1419045 0.1703725 0.8760805
-0.1416445 0.1737450 0.8736350
-0.1417163 0.1711363 0.8753932
-0.1415109 0.1718881 0.8747942
-0.1415330 0.1722142 0.8745609
-0.1413258 0.1730227 0.8740537
-0.1412966 0.1701918 0.8764133
-0.1412761 0.1704232 0.8761295
-0.1410924 0.1737681 0.8736200
-0.1411045 0.1711719 0.8754232
-0.1409209 0.1719350 0.8748306
-0.1409342 0.1722494 0.8745949
-0.1407575 0.1730526 0.8740812
-0.1406843 0.1702505 0.8764485
-0.1406537 0.1704755 0.8761721
-0.1405699 0.1738010 0.8736126
-0.1404859 0.1712212 0.8754583
-0.1403415 0.1719758 0.8748475
-0.1403422 0.1722905 0.8746228
-0.1401401 0.1700662 0.8767376
-0.1401970 0.1730847 0.8740975
-0.1400444 0.1738378 0.8736318
